,RdeltaB,Bpre,Bpost,itemideology,itemnum,partideology,ide_ms,ide_abs,partnum
105,0,100,100,1,1,0.0,1.0,100.0,13
106,73,0,73,2,2,0.0,1.0,100.0,13
107,2,0,2,2,3,0.0,1.0,100.0,13
108,50,50,100,3,4,0.0,1.0,100.0,13
109,87,0,87,3,5,0.0,1.0,100.0,13
110,10,90,100,3,6,0.0,1.0,100.0,13
111,80,0,80,3,7,0.0,1.0,100.0,13
112,-19,100,81,1,0,0.0,1.0,100.0,14
113,10,90,100,1,1,0.0,1.0,100.0,14
114,50,0,50,2,2,0.0,1.0,100.0,14
115,100,0,100,2,3,0.0,1.0,100.0,14
116,-82,88,6,3,4,0.0,1.0,100.0,14
117,90,10,100,3,5,0.0,1.0,100.0,14
118,11,89,100,3,6,0.0,1.0,100.0,14
119,100,0,100,3,7,0.0,1.0,100.0,14
120,5,95,100,1,0,0.0,1.0,100.0,15
121,0,100,100,1,1,0.0,1.0,100.0,15
122,-14,17,3,2,2,0.0,1.0,100.0,15
123,0,0,0,2,3,0.0,1.0,100.0,15
124,23,68,91,3,4,0.0,1.0,100.0,15
125,50,23,73,3,5,0.0,1.0,100.0,15
126,0,5,5,3,6,0.0,1.0,100.0,15
127,50,50,100,3,7,0.0,1.0,100.0,15
128,7,90,97,1,0,0.0,1.0,100.0,16
129,0,100,100,1,1,0.0,1.0,100.0,16
130,-9,12,3,2,2,0.0,1.0,100.0,16
131,-38,50,12,2,3,0.0,1.0,100.0,16
132,7,90,97,3,4,0.0,1.0,100.0,16
133,70,15,85,3,5,0.0,1.0,100.0,16
134,5,90,95,3,6,0.0,1.0,100.0,16
135,9,0,9,3,7,0.0,1.0,100.0,16
136,44,56,100,1,0,0.0,1.0,100.0,17
137,94,0,94,1,1,0.0,1.0,100.0,17
138,91,0,91,2,2,0.0,1.0,100.0,17
139,64,36,100,2,3,0.0,1.0,100.0,17
140,58,36,94,3,4,0.0,1.0,100.0,17
141,67,32,99,3,5,0.0,1.0,100.0,17
142,100,0,100,3,6,0.0,1.0,100.0,17
143,98,0,98,3,7,0.0,1.0,100.0,17
144,-11,100,89,1,0,0.0,1.0,100.0,18
145,-17,86,69,1,1,0.0,1.0,100.0,18
146,7,0,7,2,2,0.0,1.0,100.0,18
147,-18,35,17,2,3,0.0,1.0,100.0,18
148,16,58,74,3,4,0.0,1.0,100.0,18
149,15,10,25,3,5,0.0,1.0,100.0,18
150,9,30,39,3,6,0.0,1.0,100.0,18
151,7,55,62,3,7,0.0,1.0,100.0,18
152,-10,17,7,1,0,0.0,1.0,100.0,19
153,11,79,90,1,1,0.0,1.0,100.0,19
154,-2,79,77,2,2,0.0,1.0,100.0,19
155,-7,22,15,2,3,0.0,1.0,100.0,19
156,-17,18,1,3,4,0.0,1.0,100.0,19
157,14,79,93,3,5,0.0,1.0,100.0,19
158,-20,31,11,3,6,0.0,1.0,100.0,19
159,3,66,69,3,7,0.0,1.0,100.0,19
160,0,100,100,1,0,0.0,1.0,100.0,20
161,0,100,100,1,1,0.0,1.0,100.0,20
162,29,0,29,2,2,0.0,1.0,100.0,20
163,20,3,23,2,3,0.0,1.0,100.0,20
164,14,86,100,3,4,0.0,1.0,100.0,20
165,55,25,80,3,5,0.0,1.0,100.0,20
166,-1,41,40,3,6,0.0,1.0,100.0,20
167,41,0,41,3,7,0.0,1.0,100.0,20
168,5,95,100,1,0,0.0,1.0,100.0,21
169,0,100,100,1,1,0.0,1.0,100.0,21
170,6,0,6,2,2,0.0,1.0,100.0,21
171,-13,13,0,2,3,0.0,1.0,100.0,21
172,0,100,100,3,4,0.0,1.0,100.0,21
173,-2,55,53,3,5,0.0,1.0,100.0,21
174,0,100,100,3,6,0.0,1.0,100.0,21
175,2,62,64,3,7,0.0,1.0,100.0,21
176,-10,43,33,1,0,0.0,1.0,100.0,22
177,-29,33,4,1,1,0.0,1.0,100.0,22
178,-3,45,42,2,2,0.0,1.0,100.0,22
179,-6,42,36,2,3,0.0,1.0,100.0,22
180,-12,39,27,3,4,0.0,1.0,100.0,22
181,6,56,62,3,5,0.0,1.0,100.0,22
182,13,54,67,3,6,0.0,1.0,100.0,22
183,-9,47,38,3,7,0.0,1.0,100.0,22
184,0,100,100,1,0,0.0,1.0,100.0,23
185,0,100,100,1,1,0.0,1.0,100.0,23
186,50,0,50,2,2,0.0,1.0,100.0,23
187,0,100,100,2,3,0.0,1.0,100.0,23
188,12,78,90,3,4,0.0,1.0,100.0,23
189,66,0,66,3,5,0.0,1.0,100.0,23
190,24,76,100,3,6,0.0,1.0,100.0,23
191,90,10,100,3,7,0.0,1.0,100.0,23
192,10,90,100,1,0,0.0,1.0,100.0,24
193,0,100,100,1,1,0.0,1.0,100.0,24
194,86,14,100,2,2,0.0,1.0,100.0,24
195,77,7,84,2,3,0.0,1.0,100.0,24
196,27,73,100,3,4,0.0,1.0,100.0,24
197,54,46,100,3,5,0.0,1.0,100.0,24
198,6,94,100,3,6,0.0,1.0,100.0,24
199,80,13,93,3,7,0.0,1.0,100.0,24
200,0,100,100,1,0,0.0,1.0,100.0,25
201,-100,100,0,1,1,0.0,1.0,100.0,25
202,77,4,81,2,2,0.0,1.0,100.0,25
203,64,25,89,2,3,0.0,1.0,100.0,25
204,18,82,100,3,4,0.0,1.0,100.0,25
205,56,29,85,3,5,0.0,1.0,100.0,25
206,81,19,100,3,6,0.0,1.0,100.0,25
207,61,24,85,3,7,0.0,1.0,100.0,25
208,2,90,92,1,0,0.0,1.0,100.0,26
209,-2,96,94,1,1,0.0,1.0,100.0,26
210,-53,77,24,2,2,0.0,1.0,100.0,26
211,-6,82,76,2,3,0.0,1.0,100.0,26
212,-2,83,81,3,4,0.0,1.0,100.0,26
213,-1,21,20,3,5,0.0,1.0,100.0,26
214,58,21,79,3,6,0.0,1.0,100.0,26
215,3,72,75,3,7,0.0,1.0,100.0,26
216,14,69,83,1,0,0.0,1.0,100.0,27
217,14,86,100,1,1,0.0,1.0,100.0,27
218,16,0,16,2,2,0.0,1.0,100.0,27
219,22,9,31,2,3,0.0,1.0,100.0,27
220,9,48,57,3,4,0.0,1.0,100.0,27
221,30,28,58,3,5,0.0,1.0,100.0,27
222,7,70,77,3,6,0.0,1.0,100.0,27
223,16,73,89,3,7,0.0,1.0,100.0,27
224,0,100,100,1,0,0.0,1.0,100.0,28
225,0,100,100,1,1,0.0,1.0,100.0,28
226,75,0,75,2,2,0.0,1.0,100.0,28
227,75,0,75,2,3,0.0,1.0,100.0,28
